,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420
10,0.07,0.08,0.09,"0,10","0,11","0,12","0,13","0,14","0,15","0,16","0,17","0,18","0,19","0,20","0,21","0,22","0,23","0,24","0,25","0,26","0,28","0,29","0,30","0,31","0,33","0,34","0,36","0,37","0,38","0,39","0,41","0,42","0,43","0,44","0,45"
13,"0,12","0,13","0,14","0,16","0,17","0,19","0,20","0,22","0,24","0,26","0,27","0,29",0.31,"0,33","0,34","0,36","0,37","0,39","0,41","0,43","0,45","0,47","0,49","0,51","0,53","0,55","0,57","0,59","0,61","0,63","0,65","0,67","0,69","0,71","0,73"
16,"0,17","0,19","0,21","0,23","0,26","0,28","0,31","0,33","0,35","0,38","0,40","0,43","0,45","0,48","0,50","0,53","0,55","0,58","0,61","0,63","0,66","0,68","0,71","0,74","0,77","0,79","0,82","0,85","0,88","0,91","0,94","0,97","0,100","0,103","0,106"
19,"0,24","0,27","0,30","0,33","0,36","0,39","0,42","0,45","0,48","0,52","0,55","0,59","0,62","0,65","0,69","0,72","0,76","0,79",,,"0,90","0,94","0,98",,"0,106","0,109","0,113","0,117","0,121","0,125","0,129","0,133","0,137","0,141","0,145"
22,"0,35","0,39","0,44","0,48","0,52","0,57","0,61","0,65","0,69","0,71","0,78","0,83","0,87","0,93","0,99","0,104","0,110","0,116","0,121","0,136","0,130","0,135","0,140","0,145","0,150","0,155","0,160","0,165","0,170","0,176","0,181","0,187","0,192","0,197","0,203"
25,"0,45","0,50","0,58","0,61","0,67","0,72","0,78","0,83","0,89","0,94","0,100","0,105","0,111","0,118","0,125","0,133","0,140","0,147","0,153","0,159","0,165","0,171","0,177","0,183","0,190","0,198","0,203","0,209","0,215","0,222","0,226","0,235","0,241","0,248","0,255"
28,"0,55","0,61","0,70","0,77","0,83","0,90","0,96","0,103","0,110","0,117","0,123","0,130","0,137","0,146","0,155","0,163","0,172","0,181","0,188","0,196","0,203","0,211","0,218","0,226","0,233","0,241","0,248","0,256","0,264","0,272","0,280","0,288","0,296","0,304","0,312"
30,"0,60","0,60","0,70","0,80","0,90","0,100","0,100","0,110","0,120","0,130","0,130","0,140","0,150","0,160","0,170","0,170","0,180","0,190","0,200","0,210","0,210","0,220","0,230","0,240","0,250","0,260","0,260","0,270","0,280","0,290","0,300","0,310",,,
31,,,"0,80","0,90","0,90","0,100","0,110","0,120","0,130","0,130","0,140","0,150","0,160","0,170","0,180","0,180","0,190","0,200","0,210","0,220","0,230","0,240","0,240","0,250","0,260","0,270","0,280","0,290","0,300","0,310","0,320","0,330",,,
32,,,"0,80","0,90","0,100","0,110","0,120","0,130","0,130","0,140","0,150","0,160","0,170","0,180","0,190","0,200","0,200","0,210","0,220","0,230","0,240","0,250","0,260","0,270","0,280","0,290","0,300","0,310","0,320","0,330","0,340","0,350",,,
33,,,"0,90","0,100","0,110","0,110","0,120","0,130","0,140","0,150","0,160","0,170","0,180","0,190","0,200","0,210","0,220","0,230","0,240","0,250","0,260","0,260","0,270","0,280","0,290","0,300","0,310","0,330","0,340","0,350","0,360","0,370",,,
34,,,"0,90","0,100","0,110","0,120","0,130","0,140","0,150","0,160","0,170","0,180","0,190","0,200","0,210","0,220","0,230","0,240","0,250","0,260","0,270","0,280","0,290","0,300","0,310","0,320","0,330","0,340","0,350","0,370","0,380","0,390",,,
35,,,"0,100","0,110","0,120","0,130","0,140","0,150","0,160","0,170","0,180","0,190","0,200","0,210","0,220","0,230","0,240","0,250","0,260","0,270","0,280","0,300","0,310","0,320","0,330","0,340","0,350","0,360","0,370","0,380","0,400","0,410",,,
36,,,"0,100","0,110","0,130","0,140","0,150","0,160","0,170","0,180","0,190","0,200","0,210","0,220","0,230","0,240","0,250","0,270","0,280","0,290","0,300","0,310","0,320","0,330","0,350","0,360","0,370","0,380","0,390","0,410","0,420","0,430",,,
37,,,"0,110","0,120","0,130","0,140","0,150","0,170","0,180","0,190","0,200","0,210","0,220","0,230","0,240","0,260","0,270","0,280","0,290","0,300","0,320","0,330","0,340","0,350","0,360","0,380","0,390","0,400","0,410","0,430","0,440","0,450",,,
38,,,"0,120","0,130","0,140","0,150","0,160","0,170","0,190","0,200","0,210","0,220","0,230","0,250","0,260","0,270","0,280","0,290","0,310","0,320","0,330","0,340","0,360","0,370","0,380","0,400","0,410","0,420","0,430","0,450","0,460","0,480",,,
39,,,"0,120","0,130","0,150","0,160","0,170","0,180","0,190","0,210","0,220","0,230","0,240","0,260","0,270","0,280","0,300","0,310","0,320","0,330","0,350","0,360","0,370","0,390","0,400","0,410","0,430","0,440","0,460","0,470","0,480","0,500",,,
40,,,"0,130","0,140","0,150","0,170","0,180","0,190","0,200","0,220","0,230","0,240","0,260","0,270","0,280","0,300","0,310","0,320","0,340","0,350","0,360","0,380","0,390","0,410","0,420","0,430","0,450","0,460","0,480","0,490","0,510","0,520",,,
41,,,"0,130","0,150","0,160","0,170","0,190","0,200","0,210","0,230","0,240","0,260","0,270","0,280","0,300","0,310","0,330","0,340","0,350","0,370","0,380","0,400","0,410","0,430","0,440","0,460","0,470","0,490","0,500","0,520","0,530","0,550",,,
42,,,"0,140","0,150","0,170","0,180","0,200","0,210","0,220","0,240","0,250","0,270","0,280","0,300","0,310","0,320","0,340","0,350","0,370","0,380","0,400","0,410","0,430","0,440","0,460","0,480","0,490","0,510","0,520","0,540","0,550","0,570",,,
43,,,"0,150","0,160","0,180","0,190","0,200","0,220","0,230","0,250","0,260","0,280","0,290","0,310","0,320","0,340","0,360","0,370","0,390","0,400","0,420","0,430","0,450","0,470","0,480","0,500","0,510","0,530","0,550","0,560","0,580","0,600",,,
44,,,"0,150","0,170","0,180","0,200","0,210","0,230","0,240","0,260","0,280","0,290","0,310","0,320","0,340","0,350","0,370","0,390","0,400","0,420","0,440","0,450","0,470","0,490","0,500","0,520","0,540","0,550","0,570","0,590","0,600","0,620",,,
45,,,"0,160","0,180","0,190","0,210","0,220","0,240","0,250","0,270","0,290","0,300","0,320","0,340","0,350","0,370","0,390","0,400","0,420","0,440","0,450","0,470","0,490","0,510","0,520","0,540","0,560","0,580","0,590","0,610","0,630","0,650",,,
46,,,"0,170","0,180","0,200","0,220","0,230","0,250","0,270","0,280","0,300","0,320","0,330","0,350","0,370","0,390","0,400","0,420","0,440","0,460","0,470","0,490","0,510","0,530","0,550","0,560","0,580","0,600","0,620","0,640","0,660","0,680",,,
47,,,"0,170","0,190","0,210","0,220","0,240","0,260","0,280","0,290","0,310","0,330","0,350","0,370","0,380","0,400","0,420","0,440","0,460","0,470","0,490","0,510","0,530","0,550","0,570","0,590","0,610","0,620","0,640","0,660","0,680","0,700",,,
48,,,"0,180","0,200","0,220","0,230","0,250","0,270","0,290","0,310","0,330","0,340","0,360","0,380","0,400","0,420","0,440","0,460","0,480","0,490","0,510","0,530","0,550","0,570","0,590","0,610","0,630","0,650","0,670","0,690","0,710","0,730",,,
49,,,"0,190","0,210","0,230","0,240","0,260","0,280","0,300","0,320","0,340","0,360","0,380","0,400","0,420","0,430","0,450","0,470","0,490","0,510","0,530","0,550","0,570","0,590","0,610","0,630","0,660","0,680","0,700","0,720","0,740","0,760",,,
50,,,"0,200","0,210","0,230","0,250","0,270","0,290","0,310","0,330","0,350","0,370","0,390","0,410","0,430","0,450","0,470","0,490","0,510","0,530","0,550","0,580","0,600","0,620","0,640","0,660","0,680","0,700","0,720","0,750","0,770","0,790",,,
51,,,"0,200","0,220","0,240","0,260","0,280","0,300","0,320","0,340","0,370","0,390","0,410","0,430","0,450","0,470","0,490","0,510","0,530","0,550","0,580","0,600","0,620","0,640","0,660","0,680","0,710","0,730","0,750","0,770","0,800","0,820",,,
52,,,"0,210","0,230","0,250","0,270","0,290","0,310","0,340","0,360","0,380","0,400","0,420","0,440","0,460","0,490","0,510","0,530","0,550","0,570","0,600","0,620","0,640","0,660","0,690","0,710","0,730","0,760","0,780","0,800","0,820","0,850",,,
53,,,"0,220","0,240","0,260","0,280","0,310","0,330","0,350","0,370","0,390","0,410","0,440","0,460","0,480","0,500","0,530","0,550","0,570","0,600","0,620","0,640","0,670","0,690","0,710","0,740","0,760","0,780","0,810","0,830","0,860","0,880",,,
54,,,"0,230","0,250","0,270","0,290","0,320","0,340","0,360","0,380","0,410","0,430","0,450","0,480","0,500","0,520","0,550","0,570","0,590","0,620","0,640","0,660","0,690","0,710","0,740","0,760","0,790","0,810","0,830","0,860","0,880","0,910",,,
55,,,"0,230","0,260","0,280","0,300","0,330","0,350","0,370","0,400","0,420","0,450","0,470","0,490","0,520","0,540","0,570","0,590","0,610","0,640","0,660","0,690","0,710","0,740","0,760","0,790","0,810","0,840","0,860","0,890","0,920","0,940",,,
56,,,"0,240","0,270","0,290","0,310","0,340","0,360","0,390","0,410","0,440","0,460","0,490","0,510","0,530","0,560","0,590","0,610","0,640","0,660","0,690","0,710","0,740","0,760","0,790","0,820","0,840","0,870","0,890","0,920","0,950","0,970",,,
57,,,"0,250","0,280","0,300","0,330","0,350","0,380","0,400","0,430","0,450","0,480","0,500","0,530","0,550","0,580","0,610","0,630","0,660","0,680","0,710","0,740","0,760","0,790","0,820","0,840","0,870","0,900","0,930","0,950","0,980",1010,,,
58,,,"0,260","0,290","0,310","0,340","0,360","0,390","0,410","0,440","0,470","0,490","0,520","0,550","0,570","0,600","0,630","0,650","0,680","0,710","0,730","0,760","0,790","0,820","0,840","0,870","0,900","0,930","0,960","0,980","1,010","1,040",,,
59,,,"0,270","0,300","0,320","0,350","0,370","0,400","0,430","0,450","0,480","0,510","0,540","0,560","0,590","0,620","0,650","0,670","0,700","0,730","0,760","0,790","0,810","0,840","0,870","0,900","0,930","0,960","0,990","1,020","1,050","1,070",,,
60,,,"0,280","0,310","0,330","0,360","0,390","0,410","0,440","0,470","0,500","0,530","0,550","0,580","0,610","0,640","0,670","0,700","0,730","0,750","0,780","0,810","0,840","0,870","0,900","0,930","0,960","0,990","1,020","1,050","1,080","1,110",,,
